user_id,community_id
1043,5
1044,9
1045,0
1046,3
1047,0
1048,11
1049,5
1050,10
1051,3
1052,13
1053,0
1054,14
1055,0
1056,14
1057,10
1058,10
1059,0
1060,6
1061,3
1062,8
1063,4
1064,14
1065,14
1066,14
1067,9
1068,2
1069,6
1070,10
1071,5
1072,4
1073,1
1074,10
1075,0
1076,14
1077,8
1078,9
1079,4
1080,9
1081,0
1082,2
1083,3
1084,9
1085,1
1086,14
1087,14
1088,8
1089,2
1090,10
1091,14
1092,4
1093,10
1094,2
1095,6
1096,5
1097,10
1098,1
1099,5
1100,0
1101,8
1102,9
1103,8
1104,0
1105,8
1106,4
1107,1
1108,5
1109,3
1110,7
1111,7
1112,10
1113,4
1114,3
1115,0
1116,7
1117,10
1118,0
1119,0
1120,9
1121,13
1122,9
1123,2
1124,7
1125,10
1126,6
1127,9
1128,5
1129,0
1130,13
1131,2
1132,1
1133,3
1134,3
1135,4
1136,7
1137,5
1138,6
1139,1
1140,5
1141,13
1142,5
1143,1
1144,11
1145,6
1146,1
1147,3
1148,0
1149,11
1150,4
1151,11
1152,10
1153,9
1154,1
1155,13
1156,2
1157,4
1158,2
1159,0
1160,4
1161,11
1162,9
1163,3
1164,0
1165,0
1166,10
1167,12
1168,0
1169,0
1170,13
1171,11
1172,11
1173,3
1174,2
1175,1
1176,9
1177,10
1178,4
1179,13
1180,0
1181,3
1182,4
1183,2
1184,3
1185,2
1186,1
1187,14
1188,4
1189,6
1190,13
1191,14
1192,2
1193,2
1194,0
1195,14
1196,14
1197,6
1198,2
1199,14
1200,14
1201,6
1202,14
1203,8
1204,2
1205,3
1206,1
1207,0
1208,0
1209,8
1210,6
1211,4
1212,8
1213,7
1214,13
1215,12
1216,5
1217,7
1218,4
1219,5
1220,12
1221,2
1222,0
1223,6
1224,0
1225,1
1226,13
1227,0
1228,10
1229,0
1230,9
1231,0
1232,3
1233,10
1234,10
1235,4
1236,3
1237,7
1238,0
1239,2
1240,4
1241,9
1242,4
1243,2
1244,10
1245,10
1246,8
1247,0
1248,10
1249,0
1250,7
1251,12
1252,0
1253,12
1254,3
1255,1
1256,10
